CompID	Calc. MW	m/z	RT (min)	Reference Ion
7	92.04682	93.05462	58.98270796	Glycerol 
9	76.05191	77.05971	72.75266706	"1,3-Propanediol"
12	182.07956	181.07176	51.39893125	Mannitol
14	124.05191	125.05971	384.6738091	4-Methylcatechol
20	194.04327	193.03547	54.03398894	D-Glucuronic acid
21	180.04278	179.03498	392.2586096	Caffeic acid
22	174.08973	173.08193	437.6886908	Suberic acid 
23	168.04278	167.03498	318	"3,4-Dihydroxyphenylacetic acid "
24	182.05843	181.05063	375.54452	"3,4-Dihydroxyhydrocinnamic acid (3,4-Dihydroxyphenylpropionic acid )"
26	154.02713	153.01933	284.3536137	"3,4-Dihydroxybenzoic acid"
28	170.02204	169.01424	186	"3,4,5-trihydroxybenzoic acid (gallic acid)"
29	154.02713	153.01933	355.4053716	"2,5-Dioxybenzoic acid"
30	152.04787	151.04007	364.7968423	4-Hydroxyphenylacetic acid
31	166.06352	165.05572	444.2329641	3-(4-Hydroxyphenyl)propionic acid
32	138.03222	137.02442	400.991664	3-Hydroxybenzoic acid 
33	152.04787	151.04007	443.3477612	2-Hydroxyphenylacetic acid
34	166.06352	165.05572	515.4018043	3-(2-Hydroxyphenyl)propionic acid
35	194.05739	195.06519	505.8	3-Hydroxy-4-methoxycinnamic acid
36	152.04787	151.04007	408.2246461	3-Hydroxphenylacetic acid
37	138.03222	137.02442	353.9290306	4-Hydroxybenzoic acid
41	138.03222	137.02442	531.4042979	Salicylic acid
42	224.069	223.0612	486	Sinapic acid
43	198.0523	199.0601	414	Syringic acid
45	153.04207	154.04987	87	Mesalazine
46	122.0373	121.0295	524.8620253	Benzoic acid
49	102.06756	103.07536	509.7906676	Valeric acid
50	116.08425	115.07645	547.6114461	4-Methylvaleric acid
53	129.07846	130.08626	80.7970006	Pipecolinic acid
56	102.06756	103.07536	492	Isovaleric acid
57	60.02061	61.02841	90.94765786	Acetic acid
59	88.05191	89.05971	359.718625	Butyric acid
62	166.06352	165.05572	476.2005781	L-3-Phenyllactic acid
66	102.06756	103.07536	509.8790512	(S)-(+)-2-Methylbutyric acid
71	210.03809	209.03029	55.19652868	Glucaric acid
72	104.04682	105.05462	126.0601368	3-Hydroxybutyric acid
74	132.07916	131.07136	429.7055788	2-Hydroxyhexanoic acid
76	134.02204	133.01424	64.70918125	Malic acid
80	118.06352	117.05572	232.9697462	beta-Hydroxyisovaleric acid
82	88.01657	87.00877	91.39308509	Pyruvic acid
84	116.01148	115.00368	94.17209535	"DL-Maleic acid


"
85	118.02713	117.01933	114.4812479	Succinic acid
86	132.04278	131.03498	253.325392	(R)-(+)-Methylsuccinic acid
87	116.01148	115.00368	105.8166595	Fumaric acid
88	146.05739	147.06519	302.3078755	Adipic acid
89	188.10538	187.09758	524.5752462	Azelaic acid
90	132.04278	131.03498	205.0839683	Glutaric acid
91	202.12103	201.11323	540.1626982	Sebacic acid 
92	230.15233	229.14453	564.955387	Dodecanedioic acid 
93	160.07408	159.06628	375.4349695	3-Methylhexanedioic acid (3-Methyladipic acid)
95	104.00988	103.00208	72	Malonic acid
95	101.99428	103.00208	72	Malonic acid
96	192.02753	191.01973	83.54295945	Citric Acid 
96	190.01193	191.01973	81.46105448	Citric Acid 
97	268.08025	269.08805	165.4465514	Inosine
98	138.0424	139.0502	82.37809418	Urocanic acid 
100	140.05805	141.06585	73.49432451	Imidazolepropionic acid
101	226.10607	227.11387	51.75702008	L-Carnosine
105	86.03626	87.04406	140.113029	gamma-Butyrolactone
106	114.06756	115.07536	437.8666872	gamma-Caprolactone
107	178.04826	177.04046	53.97621458	L-Gulonic gamma-lactone
120	176.03156	177.03936	72	L-ascorbic acid
125	150.05366	151.06146	324	Dipropyl disulfide
126	150.05335	149.04555	56.89411073	D-(-)Arabinose
129	180.06391	179.05611	52.28120432	D(+)-Galactose
131	202.04481	203.05261	53.2955761	D-(+)-Glucose
134	196.05883	195.05103	53.12252868	D-Gluconic acid
145	100.05191	101.05971	239.7470255	"2,3-Pentanedione"
168	75.0315	76.0393	53.11839489	Glycine
169	89.04716	90.05496	52.63129909	L-Alanine
170	117.07846	118.08626	74.57402752	L-Valine
171	131.09411	132.10191	130.1510916	L-Leucine
172	131.09411	132.10191	118.0668404	L-Isoleucine
173	115.06281	116.07061	56.80992017	L-Proline 
174	105.04207	106.04987	53.37106734	L-Serine
175	119.05772	120.06552	53.21232844	L-Threonine
176	133.03698	134.04478	53.88297978	L-Aspartic acid
177	149.05053	150.05833	84.20998331	L-Methionine
178	129.04207	130.04987	90.74398561	L-Pyroglutamic acid
179	147.05263	148.06043	53.38274304	L-Glutamic acid
180	165.07846	166.08626	237.7886118	L-Phenylalanine
181	181.07337	182.08117	109.337035	L-Tyrosine
183	103.06281	104.07061	54.5863322	gamma-Aminobutyric acid (GABA)
184	117.07846	118.08626	61.77223434	5-aminovaleric acid
185	219.11015	220.11795	275.8595489	D-pantothenic acid 
187	133.01923	134.02703	60	Thiazolidine-4-carboxylic acid
188	132.0904	131.0826	52.03746714	L-Ornithine
189	146.105	147.1128	44.12397023	L-Lysine
191	190.09483	191.10263	57.57533581	"2,6-Diaminopimelic acid"
194	133.03698	134.04478	53.88297978	D-Aspartic acid
196	174.11115	175.11895	51.31307792	L-Arginine
197	132.05297	133.06077	52.25808754	L-Asparagine 
198	155.06895	156.07675	51.28610997	L-Histidine
201	175.06281	176.07061	530.0869013	3-indole-acetic acid
202	189.06425	188.05645	104.5857543	N-Acetylglutamic acid
203	123.0315	124.0393	83.30702439	Nicotinic acid
205	146.06862	147.07642	53.44554178	L-Glutamine  
206	191.06109	192.06889	338.6372259	N-Acetyl-L-methionine
209	399.33434	400.34214	630	Palmitoyl-L-carnitine
210	131.05772	132.06552	54.21776847	trans-4-Hydroxy-L-proline
212	99.06789	100.07569	227.8202584	2-Piperidione
215	102.11518	103.12298	48.16277023	Cadaverine
216	202.21522	203.22302	44.61582535	Spermine
217	61.05224	62.06004	51.03287512	Ethanolamine
218	153.07846	154.08626	90.49375285	Dopamine
219	145.15737	146.16517	45.65021894	Spermidine
220	88.09952	89.10732	47.40645612	Putrescine
221	99.10428	100.11208	204.4860987	Cyclohexylamine
223	160.09952	161.10732	330	Tryptamine
224	137.08354	138.09134	124.1212964	Tyramine
225	95.03659	96.04439	60	3-Hydroxypyridine
226	117.05733	118.06513	570	Indole
227	111.04274	112.05054	54.91419442	Cytosine
236	136.03799	137.04579	88.285322	Hypoxanthine
242	126.0424	127.0502	149.8716234	"Thymine (5-Methyl-2,4-dihydroxypyrimidine)"
243	112.02675	113.03455	83.01499695	Uracil
275	408.2881	407.2803	590.8715549	Cholic acid (CA)
276	392.29314	391.28534	642	Chenodeoxycholic acid (CDCA)
279	392.29314	391.28534	594	Ursodeoxycholic acid (UDCA)
281	465.30956	464.30176	559.8691789	Sodium glycocholate hydrate  (GCA)
288	449.31465	448.30685	561	Glycoursodeoxycholic acid (GUDCA)
291	360.19315	361.20095	547.1604398	Cortisone
293	204.08935	205.09715	312.7110981	L-Tryptophan
294	161.1047	162.1125	54.13410323	L-Carnitine
296	176.09444	177.10224	204	Serotonin
298	117.07846	118.08626	61.77223434	Betaine 
299	259.17783	260.18563	472.8848247	DL-Hexanoylcarnitine
303	121.08863	122.09643	282	beta-Phenylethylamine (2-phenylethylamine)
304	276.02516	275.01736	56.53499535	6-Phosphogluconic acid
