"rho"	"adj_p_value"	"CompID1"	"CompID2"	"Calc..MW"	"m.z"	"RT..min."	"Reference.Ion"	"ABSrho"
0.348	8.39e-10	"1840"	"drink3b"	"162.99445"	"161.98665"	"201.7785663"	"Acesulfame K"	0.348
0.232	0.00651	"1891"	"drink3b"	"280.1054"	"281.1132"	"321.6456447"	"Asp-Phe"	0.232
-0.227	0.00744	"2068"	"spread2"	"226.09483"	"227.10263"	"271.3156643"	"5-Oxo-L-prolyl-L-proline"	0.227
-0.223	0.00848	"1848"	"spread2"	"188.15196"	"189.15976"	"49.59121766"	"N6,N6,N6-trimethyllysine"	0.223
-0.212	0.0177	"145"	"spread2"	"100.05191"	"101.05971"	"239.7470255"	"2,3-Pentanedione"	0.212
-0.212	0.0177	"206"	"spread2"	"191.06109"	"192.06889"	"338.6372259"	"N-Acetyl-L-methionine"	0.212
-0.206	0.0268	"212"	"spread2"	"99.06789"	"100.07569"	"227.8202584"	"2-Piperidione"	0.206
-0.202	0.037	"1780"	"spread2"	"132.07917"	"131.07137"	"382.0619586"	"2-Ethyl-2-hydroxybutyric acid"	0.202
-0.199	0.0374	"236"	"spread2"	"136.03799"	"137.04579"	"88.285322"	"Hypoxanthine"	0.199
-0.199	0.0374	"243"	"spread2"	"112.02675"	"113.03455"	"83.01499695"	"Uracil"	0.199
-0.197	0.0412	"1345"	"spread2"	"75.06789"	"76.07569"	"53.23106094"	"Trimethylamine N-oxide "	0.197
-0.195	0.0412	"201"	"spread2"	"175.06281"	"176.07061"	"530.0869013"	"3-indole-acetic acid"	0.195
-0.194	0.0412	"1425"	"spread2"	"118.06352"	"117.05572"	"302.2938153"	"Alpha-hydroxyisovalerate"	0.194
-0.194	0.0412	"177"	"spread2"	"149.05053"	"150.05833"	"84.20998331"	"L-Methionine"	0.194
0.193	0.0412	"105"	"drink3b"	"86.03626"	"87.04406"	"140.113029"	"gamma-Butyrolactone"	0.193
0.193	0.0412	"1477"	"cereal2b"	"246.0999"	"247.1077"	"506.7892784"	"N-acetyl-DL-tryptophan"	0.193
0.19	0.0536	"1536"	"cereal2b"	"202.14245"	"203.15025"	"57.5586678"	"N,N,dimethylarginine"	0.19
-0.188	0.0584	"242"	"spread2"	"126.0424"	"127.0502"	"149.8716234"	"Thymine (5-Methyl-2,4-dihydroxypyrimidine)"	0.188
0.186	0.0633	"1583"	"spread2"	"167.091"	"168.0988"	"236.9569977"	"L-Phenylalanine-d2"	0.186
-0.186	0.0633	"466"	"spread2"	"165.06454"	"166.07234"	"88.43841979"	"7-Methylguanine"	0.186
-0.185	0.0633	"1986"	"spread2"	"177.04649"	"176.03869"	"306.3913562"	"N-Formyl-methionine"	0.185
-0.185	0.0634	"31"	"spread2"	"166.06352"	"165.05572"	"444.2329641"	"3-(4-Hydroxyphenyl)propionic acid"	0.185
0.184	0.0648	"1780"	"drink3b"	"132.07917"	"131.07137"	"382.0619586"	"2-Ethyl-2-hydroxybutyric acid"	0.184
0.184	0.0648	"1848"	"cereal2b"	"188.15196"	"189.15976"	"49.59121766"	"N6,N6,N6-trimethyllysine"	0.184
-0.182	0.0667	"1509"	"spread2"	"150.0686"	"149.0608"	"551.5950191"	"3-Phenylpropionate (Hydrocinnamic acid)"	0.182
-0.182	0.0667	"170"	"spread2"	"117.07846"	"118.08626"	"74.57402752"	"L-Valine"	0.182
0.182	0.0667	"220"	"cereal2b"	"88.09952"	"89.10732"	"47.40645612"	"Putrescine"	0.182
